ZTF18achxcsh 0.070000 Ia
58594.1661806 2 19.4557 0.196481
58587.1638889 2 19.391 0.248026
58581.2379167 2 19.0304 0.108203
58575.2162037 2 18.5705 0.186345
58573.2423264 2 18.7146 0.0872947
58567.218206 2 18.5801 0.0776957
58567.1415046 2 18.5681 0.0878403
58562.1363773 2 18.8784 0.16602
58559.2286111 2 18.8666 0.141811
