ZTF19aailltc 0.088000 Ia
58633.1970023 2 20.6289 0.216464
58612.2130556 2 20.2363 0.14709
58612.2085301 2 20.2063 0.232963
58606.2379745 2 20.0953 0.16797
58606.2126968 2 20.1522 0.17284
58606.2043056 2 20.1479 0.128526
58602.2613079 2 20.1163 0.173524
58597.3276505 2 19.705 0.148142
58596.2604977 2 19.7581 0.191282
58594.3198148 2 19.5727 0.241083
58593.3203588 2 19.8256 0.261396
58586.2475347 2 19.487 0.136519
58584.3174306 2 19.4538 0.108227
58583.2817824 2 19.363 0.144609
58582.205787 2 19.4665 0.133773
58580.3498032 2 19.2869 0.112651
58580.2838426 2 19.3349 0.105714
58580.2833681 2 19.4882 0.083909
58575.3680903 2 18.7806 0.26669
58575.2491898 2 19.2547 0.175167
58572.2992708 2 19.0593 0.179066
58572.2921644 2 19.0144 0.104044
58567.2490856 2 19.0595 0.0908585
58559.2871759 2 18.864 0.0847349
58559.255544 2 18.8465 0.0960444
58558.2134722 2 18.7757 0.13295
58556.287338 2 18.7062 0.101716
58543.3409491 2 18.6612 0.0642685
58540.2708681 2 18.6778 0.0755927
58538.3595139 2 18.5154 0.157946
58526.4907407 2 19.2523 0.169076
58526.4902778 2 19.4374 0.18436
58522.534375 2 19.8652 0.186185
58522.533912 2 19.7864 0.149269
