ZTF18abjgyyr 0.050000 Ia
58377.2758449 2 19.7677 0.183807
58374.1682639 2 19.7575 0.164273
58371.2958102 2 19.5676 0.16424
58368.2763657 2 19.5225 0.128071
58356.2912847 2 18.8134 0.151211
58353.2926852 2 18.7058 0.0878372
58353.2113657 2 18.6765 0.102152
58350.3642593 2 18.7355 0.0942733
58347.4154282 2 18.649 0.0779035
58338.3244213 2 18.1028 0.0678642
58332.3351736 2 17.9895 0.0706813
58329.3565625 2 18.1089 0.0673125
58326.3343056 2 18.3666 0.102237
