ZTF18aaydmkh 0.084500 Ia
58314.1983796 2 19.7299 0.158559
58300.3266435 2 19.2562 0.135468
58297.3311458 2 19.1894 0.159454
58293.2584722 2 18.9643 0.104109
58290.348044 2 18.9295 0.101912
58287.3200347 2 18.956 0.0525717
58284.3218634 2 18.7378 0.0744784
58281.3404051 2 19.1728 0.0681985
58278.3067593 2 19.5533 0.0994377
