ZTF20aayjyhp 0.071000 Ia
58987.4353125 1 19.0219 0.106603
58986.4030208 1 18.9222 0.0983373
58985.4362153 1 18.9329 0.103505
58985.4352778 1 19.0097 0.0895067
58981.3242245 1 19.0163 0.146885
58980.423125 1 18.9095 0.124334
58980.4212269 1 19.009 0.124298
58979.4346412 1 19.0509 0.172599
58978.4345486 1 18.9033 0.163391
58977.3882639 1 19.2088 0.255608
58976.4659028 1 19.4079 0.218869
58975.2993056 1 19.6233 0.306637
58974.4964352 1 19.9183 0.26059
58974.4950116 1 19.7797 0.211622
58973.4722801 1 20.0339 0.166351
58971.4516435 1 21.0572 0.327495
58970.4674884 1 21.1631 0.409322
