ZTF20aaetrle 0.020000 II
58915.1175579 2 19.6884 0.202517
58906.1814815 2 19.4213 0.169387
58903.1552431 2 19.3732 0.112465
58899.1314468 2 19.2656 0.119076
58896.1361227 2 19.138 0.102888
58896.1024074 2 19.0348 0.118053
58895.1861227 2 19.0335 0.0933011
58893.1411111 2 18.9583 0.0837113
58887.1389583 2 18.6547 0.100972
58880.19875 2 18.2031 0.0670319
58880.1759375 2 18.184 0.066783
58879.101169 2 18.2055 0.09839
58877.1261343 2 18.0465 0.0600836
58874.1315046 2 18.0097 0.062342
58873.1827778 2 17.9501 0.0577184
58867.2373843 2 18.2541 0.0673653
58863.1941898 2 18.5205 0.109761
58862.2289583 2 18.7257 0.0717061
58861.166331 2 18.9315 0.134085
58859.2360648 2 19.0545 0.156061
