ZTF18acbuemc 0.043000 II
58487.105787 2 19.8245 0.146416
58472.1222338 2 19.3844 0.138327
58464.2794676 2 19.04 0.118151
58456.2623032 2 19.1268 0.109822
58456.1863773 2 19.0823 0.102703
58447.3383218 2 18.8164 0.141689
58437.2990509 2 18.6825 0.0722116
58434.1963079 2 18.4993 0.0661156
58431.1941319 2 18.5179 0.0993977
58428.2523958 2 18.5533 0.0703066
58422.3193403 2 18.8909 0.126463
