ZTF18abjdjge 0.130000 Ia-91T
58370.1375347 2 20.1194 0.19188
58361.1424074 2 20.1971 0.199694
58353.2624306 2 19.4979 0.196389
58350.1573727 2 19.4742 0.128345
58346.1750347 2 19.2586 0.102467
58343.1549421 2 19.0592 0.0955037
58340.1809954 2 19.0313 0.144631
58337.1996875 2 18.9814 0.0812823
58331.1832523 2 19.0808 0.0862994
58322.2468866 2 20.0392 0.197763
