ZTF18acppxgo 0.076000 Ia
58962.2092477 1 20.1525 0.186265
58867.4157523 1 20.0795 0.206914
58855.480162 1 20.2011 0.216994
58849.5008333 1 20.0937 0.169184
58831.5461806 1 19.8886 0.351051
58640.1969676 1 20.132 0.200459
58637.2163426 1 20.2376 0.243672
58634.1916204 1 20.1038 0.177042
58612.1714352 1 20.0963 0.19644
58608.2751852 1 20.2078 0.214338
58605.2329398 1 20.0777 0.202122
58600.1894907 1 20.1531 0.198487
58597.2518056 1 20.3564 0.215084
58580.252662 1 20.4365 0.25728
58575.2722917 1 20.3636 0.249129
