ZTF18acrknyn 0.070000 Ia
58491.2343519 2 19.5604 0.130217
58491.2242245 2 19.6291 0.150063
58487.2555671 2 19.5318 0.135457
58487.2527199 2 19.3314 0.105574
58480.4339815 2 19.5121 0.1682
58480.4334375 2 19.3704 0.199227
58474.3001389 2 19.163 0.167284
58471.2628472 2 18.9841 0.206985
58468.4916088 2 18.9571 0.0964914
58468.4675463 2 18.867 0.0956838
58465.4878356 2 18.769 0.0768069
58465.4737153 2 18.7804 0.0909462
58462.2999421 2 18.6945 0.169823
58462.2989699 2 18.7564 0.114805
58456.2795023 2 18.7682 0.0671366
58456.2673495 2 18.6762 0.0667655
58456.2136343 2 18.7722 0.0846484
58456.2131019 2 18.8094 0.0890786
58450.3704167 2 19.3581 0.118887
58450.3666435 2 19.3519 0.142563
