ZTF20aabbvcx 0.077000 Ia
58891.1191667 2 19.414 0.176622
58887.1206134 2 19.3883 0.214497
58881.1139236 2 19.2871 0.19009
58877.1216204 2 19.0408 0.138853
58874.1134028 2 18.8593 0.105189
58871.0965741 2 18.6761 0.0883427
58867.1098727 2 18.4792 0.0897981
58860.2024306 2 18.5943 0.167729
58859.1663773 2 18.6732 0.122744
58856.1648495 2 18.8573 0.122665
58856.1443981 2 18.7869 0.110565
58854.1481019 2 18.8905 0.257429
