ZTF18absoomk 0.069000 Ia
58397.3455093 1 19.5254 0.119231
58388.3371644 1 18.7054 0.104382
58385.3696412 1 18.5408 0.108481
58382.4098958 1 18.3031 0.0686199
58382.2475694 1 18.3221 0.067146
58379.3365509 1 18.1502 0.0640821
58378.3537037 1 18.1214 0.0692839
58376.3082176 1 18.0499 0.0499604
58373.3908796 1 17.9945 0.0626337
58370.3525347 1 18.0059 0.071198
58370.3382176 1 17.9923 0.060351
58368.3913889 1 18.1041 0.0701618
58367.3021412 1 18.1778 0.0597977
58364.2890856 1 18.5076 0.0821364
