ZTF20aaqshoz 0.044170 Ia
58985.3126736 1 20.2922 0.19927
58970.294537 1 20.152 0.192366
58968.2918981 1 19.9363 0.158274
58967.2749306 1 19.8544 0.186752
58964.3399537 1 19.9962 0.139264
58963.3309144 1 19.9116 0.164465
58955.3987269 1 19.7135 0.176281
58943.4212963 1 18.7575 0.0934873
58939.4563889 1 18.5026 0.195208
58936.4637269 1 18.2469 0.0681627
58914.4805787 1 17.1817 0.0518818
58911.4303009 1 17.4241 0.0586419
58903.5236806 1 19.6698 0.133642
