ZTF18abhxidv 0.070000 Ia
58373.1725463 2 20.0458 0.163003
58370.1493171 2 19.9814 0.190284
58367.1696759 2 19.9872 0.182336
58364.1646528 2 19.8289 0.155893
58361.2332176 2 19.7637 0.144497
58358.22875 2 19.4478 0.186422
58355.2317593 2 19.3754 0.164342
58349.2709259 2 18.9662 0.147255
58343.3251273 2 18.9059 0.104926
58340.3024769 2 18.7516 0.0900206
58336.2243056 2 18.5394 0.0776103
58333.3319792 2 18.3393 0.0788667
58329.3161806 2 18.1892 0.0666486
58326.3147685 2 18.2003 0.098606
58323.2312153 2 18.2834 0.0908731
58320.3469444 2 18.3931 0.0910716
