ZTF19aavbjfp 0.028000 II
58694.2138773 1 19.3896 0.141309
58693.2478241 1 19.4956 0.188741
58692.2235069 1 19.4337 0.154555
58692.2049769 1 19.4355 0.145882
58691.2209375 1 19.513 0.151328
58690.2002315 1 19.4783 0.159997
58688.2008565 1 19.3876 0.158378
58684.2593981 1 19.1982 0.272723
58676.1823264 1 19.319 0.130049
58676.1818287 1 19.2795 0.212143
58673.1822917 1 19.2927 0.16862
58673.1794792 1 19.2657 0.146204
58670.1970718 1 19.4135 0.143068
58670.1965856 1 19.1668 0.147813
58667.1965625 1 19.1803 0.10757
58667.1960764 1 19.2485 0.132675
58661.2207639 1 19.1274 0.0919531
58660.1859722 1 19.1869 0.0865029
58658.1992014 1 19.0756 0.0951699
58657.1987731 1 19.1117 0.116703
58655.241088 1 19.0735 0.181564
58654.2668519 1 18.9534 0.0974042
58651.1982292 1 19.0195 0.175433
58649.1818171 1 18.9684 0.133279
58648.1780324 1 18.8456 0.186517
58646.1956597 1 18.7897 0.140835
58645.236713 1 18.8146 0.0821257
58643.1985417 1 18.7829 0.0976269
58642.2060532 1 18.7265 0.0826834
58640.2040625 1 18.7017 0.0776866
58639.2425 1 18.673 0.0756085
58637.2259606 1 18.6097 0.0704309
58636.2648611 1 18.5831 0.0785207
58634.2293634 1 18.5811 0.0761603
58633.2624306 1 18.5852 0.0750353
58628.2255556 1 18.361 0.0733531
58622.1656713 1 18.2539 0.144056
58619.2471759 1 18.3608 0.117585
58619.2435185 1 18.5949 0.102897
