ZTF19ablpnmk 0.060000 Ia
58722.4162616 1 20.3044 0.233958
58709.4635301 1 19.7299 0.183245
58709.455 1 19.5797 0.200631
58706.4396412 1 19.4858 0.111553
58706.4189699 1 19.7059 0.152097
58703.5002083 1 19.6808 0.174202
58699.456412 1 19.9561 0.170367
58699.4409028 1 19.8055 0.143831
58696.435625 1 20.3455 0.2306
