ZTF18aaytovs 0.076000 Ia-91T
58330.1884606 1 20.1074 0.215977
58321.3952083 1 19.7689 0.180658
58318.3820833 1 19.5756 0.12919
58313.3333218 1 19.2468 0.0618321
58310.3283102 1 19.1259 0.125707
58301.2705208 1 18.3845 0.0781081
58298.2456481 1 18.2559 0.0798605
58295.3635301 1 18.3068 0.102531
58288.3709259 1 18.3723 0.0699384
58282.3650231 1 18.97 0.0555131
58279.3625231 1 19.7427 0.114559
