ZTF18abmjvpb 0.066077 Ia
58373.12625 2 18.8912 0.0975891
58369.1280208 2 18.7467 0.095109
58363.2276042 2 18.4784 0.0950836
58360.2482292 2 18.3411 0.0827742
58357.2322454 2 18.3718 0.0867069
58353.2321412 2 18.3914 0.0764691
58353.1469792 2 18.3882 0.0864969
58346.171088 2 19.2574 0.100077
58343.1521875 2 19.9654 0.215929
