ZTF19aangier 0.060400 Ia
58616.1802662 2 19.2649 0.106107
58606.2284375 2 18.8435 0.0938598
58597.317963 2 18.6799 0.0831021
58594.3438079 2 18.6186 0.0991855
58591.4148495 2 18.4751 0.122043
58587.282662 2 18.3331 0.0531697
58584.3059144 2 18.1055 0.0548271
58580.2889236 2 17.9386 0.0617331
58575.3891435 2 17.9004 0.0575612
58572.3038542 2 17.9075 0.0645023
58567.3247569 2 18.3378 0.0653271
