ZTF19acbwaah 0.030000 Ia
58874.3513657 1 20.5942 0.211669
58866.4001389 1 20.5807 0.226124
58866.3996875 1 20.7246 0.226899
58855.5198264 1 20.361 0.214351
58855.4806713 1 20.225 0.214352
58854.5161343 1 20.1911 0.225151
58853.4962153 1 20.318 0.148454
58852.5412731 1 20.3889 0.204534
58852.5408102 1 20.3875 0.198762
58852.5180787 1 20.303 0.197578
58849.5013426 1 20.2822 0.188169
58849.4971644 1 20.2386 0.170031
58837.5167824 1 20.2183 0.270762
58836.5518287 1 19.9852 0.194295
58836.5491088 1 19.9066 0.161646
58830.5475231 1 19.9234 0.248876
58828.5442014 1 19.9237 0.291056
58827.5454861 1 20.1564 0.232029
58805.5228356 1 19.3382 0.187999
58802.5563079 1 19.6353 0.213653
58792.5368981 1 19.4433 0.133886
58792.5364352 1 19.4977 0.142722
58789.5077662 1 19.4294 0.134165
58789.5068519 1 19.3318 0.128722
58784.4923495 1 19.5783 0.2755
58781.4702662 1 19.0574 0.36256
58776.5399306 1 19.003 0.222986
58765.505544 1 18.9499 0.14638
