ZTF20aaknzba 0.110000 Ia
58911.430787 1 20.458 0.233026
58908.5301736 1 19.7479 0.142967
58904.4226042 1 19.7967 0.152753
58898.4580903 1 19.3226 0.098598
58893.4573611 1 19.0276 0.0964753
58887.4448611 1 19.0192 0.140556
58884.4640278 1 19.1017 0.10711
58881.4972801 1 19.4111 0.0932491
58878.5035648 1 19.8893 0.168538
