ZTF20aaosuzy 0.110000 Ia
58936.2768171 1 20.6351 0.194175
58915.2442014 1 18.8086 0.109612
58913.3052546 1 18.7757 0.0881127
58912.2845486 1 18.8084 0.0793327
58911.4073958 1 18.8754 0.0871943
58909.2899537 1 19.0341 0.142317
58906.2999074 1 19.1 0.072173
58905.3023727 1 19.1775 0.118813
58904.3050231 1 19.2664 0.080376
58903.3455671 1 19.4363 0.099141
58900.3239468 1 19.888 0.132731
58899.3860764 1 20.1454 0.127148
58898.3895023 1 20.5284 0.199143
