ZTF20aaflcny 0.033000 II
58941.4743403 1 20.6026 0.228093
58936.4698148 1 20.7012 0.253632
58914.4999884 1 20.468 0.249692
58911.425625 1 20.1813 0.215686
58903.5409144 1 19.9836 0.162981
58898.4558102 1 20.273 0.178978
58893.4974421 1 19.6892 0.199318
58890.5588889 1 19.5204 0.313774
58884.4754051 1 19.7233 0.14517
58881.4944907 1 19.7972 0.133387
58878.5278009 1 19.8812 0.186721
58875.4954745 1 19.7151 0.169951
58872.447963 1 19.3351 0.182911
58863.4534028 1 19.4076 0.252169
