ZTF19acxmmys 0.063000 Ia
58864.2274306 2 19.4746 0.127665
58862.2113079 2 19.3023 0.136986
58861.1315509 2 19.1676 0.124831
58860.240544 2 18.9092 0.156978
58850.4722917 2 18.8377 0.114649
58837.4278588 2 18.4892 0.0808669
58833.3391435 2 17.9946 0.0657184
58833.2350579 2 17.9468 0.0668239
58828.3265278 2 17.9424 0.0619088
58828.2422801 2 17.8317 0.0697305
