ZTF19abqrrto 0.040000 Ia-91T
58812.2363194 2 19.9004 0.20975
58812.2115162 2 20.2795 0.205644
58796.3317708 2 19.6982 0.19105
58795.4342824 2 19.727 0.164823
58794.3294444 2 19.7352 0.184157
58790.3576736 2 19.5604 0.121794
58789.2785995 2 19.4758 0.156228
58778.3881366 2 19.3439 0.137476
58775.337662 2 19.1408 0.133663
58772.38375 2 18.8289 0.211585
58766.4958102 2 18.8759 0.076935
58763.4862037 2 18.6532 0.0796361
58759.3832986 2 18.3501 0.0508424
58750.4700463 2 18.2128 0.0515388
58747.47125 2 18.1959 0.067935
58744.446331 2 18.0697 0.0656459
58741.4467824 2 17.8385 0.0535431
58738.5086458 2 17.685 0.0401278
58735.4941204 2 17.5398 0.0473447
58732.4887616 2 17.5187 0.0438918
58727.4976736 2 17.5787 0.0482894
58724.4883565 2 17.7211 0.0388259
58718.4825 2 18.53 0.0863807
58715.4438542 2 19.3893 0.119503
