ZTF20aaurknv 0.057280 Ia
58986.3986458 1 19.957 0.0856717
58978.3988194 1 19.2258 0.181171
58976.476794 1 19.3883 0.206104
58975.2681019 1 18.9087 0.177962
58974.4632292 1 18.8662 0.0790689
58973.4446528 1 18.8676 0.061749
58972.450625 1 18.7659 0.0889495
58968.4585069 1 18.4882 0.0256739
58967.4240625 1 18.3857 0.0307664
58966.4342245 1 18.3475 0.0246878
58964.3839005 1 18.2224 0.0474291
58963.3815972 1 18.1628 0.0442364
58962.3705903 1 18.1495 0.0513505
58956.3929167 1 18.1199 0.0720129
58955.4148843 1 18.1932 0.0645683
