ZTF20aaoxbju 0.063810 II
58915.4444676 1 19.5878 0.212402
58914.4247454 1 19.6785 0.242502
58913.3308912 1 19.7117 0.239441
58911.3993866 1 19.4447 0.122983
58908.3409259 1 19.4839 0.124358
58908.3409259 1 19.4839 0.124358
58906.333831 1 19.5431 0.140711
58905.3073958 1 19.49 0.153932
58904.4588079 1 19.3847 0.126484
58903.3568634 1 19.3934 0.129539
58899.4001157 1 19.4629 0.088596
58898.4194907 1 19.5214 0.114231
58895.3840741 1 20.2975 0.29148
