ZTF19aanovps 0.035000 II
58697.297963 2 19.8941 0.166187
58696.2759722 2 19.8569 0.194521
58694.1864005 2 19.6421 0.187403
58692.183831 2 19.5776 0.22716
58691.1779745 2 19.5676 0.102818
58690.1800116 2 19.4432 0.117441
58689.1815741 2 19.0437 0.2156
58685.3365278 2 19.2005 0.164575
58684.2351157 2 19.2405 0.132694
58683.2448843 2 19.2805 0.144922
58683.2166782 2 19.2738 0.111188
58682.2578009 2 19.2506 0.132597
58681.2823148 2 19.0285 0.106077
58680.2821528 2 19.1827 0.147686
58679.1950116 2 19.1 0.113661
58678.2011343 2 19.0605 0.0865399
58674.2156134 2 19.0296 0.107052
58671.1985532 2 18.9969 0.110462
58668.1832755 2 19.0265 0.0875558
58665.2645255 2 18.9255 0.0740263
58662.2412616 2 18.943 0.101953
58655.2040278 2 18.8856 0.10409
58654.2219907 2 18.8713 0.10245
58651.2835301 2 18.9302 0.120398
58648.2413542 2 18.8109 0.0947174
58645.2997454 2 18.831 0.0961973
58642.2606597 2 18.8803 0.087308
58639.3085995 2 18.8483 0.0876402
58636.3307755 2 18.8495 0.0958536
58633.3213079 2 18.8173 0.0713046
58616.3102546 2 18.7994 0.0799919
58608.3498611 2 18.7804 0.107287
58605.4129398 2 18.7158 0.0868827
58597.3922338 2 18.7177 0.0802525
58591.3962037 2 18.6277 0.111512
58587.3884259 2 18.7302 0.132322
58584.3735417 2 18.5628 0.0946438
58581.3726389 2 18.5696 0.0737204
58577.4153588 2 18.7276 0.238934
58573.2859954 2 18.6022 0.0892931
