ZTF19accobqx 0.100000 Ia
58794.1250347 2 19.3313 0.181824
58791.1247917 2 19.2785 0.131019
58788.2267014 2 19.1025 0.129798
58785.234838 2 18.985 0.115928
58782.1857986 2 18.7805 0.0775298
58779.2181713 2 18.6735 0.0771242
58776.1929861 2 18.7091 0.102296
58773.1948264 2 18.647 0.109407
58769.1189583 2 18.9842 0.194951
58766.1873495 2 18.9138 0.103909
58760.2756134 2 19.9179 0.201886
