ZTF20aamnvij 0.070000 Ia
58954.181169 1 21.0127 0.339542
58936.2558681 1 20.122 0.179943
58912.2335532 1 18.4133 0.0914631
58909.2358681 1 18.2702 0.105239
58906.2907639 1 18.184 0.065831
58903.3015509 1 18.1275 0.0665655
58903.2577083 1 18.1495 0.0704378
58898.2574537 1 18.2449 0.065307
58898.2427199 1 18.2706 0.064014
58896.2341319 1 18.4277 0.0756674
58895.2322685 1 18.5231 0.0723433
58894.3119213 1 18.5658 0.0784734
58894.2988426 1 18.6103 0.0994382
58893.2144792 1 18.7186 0.0809409
58891.2277662 1 19.0854 0.141351
58891.214456 1 19.1404 0.168394
58890.2687037 1 19.231 0.189694
