ZTF19aanbfaw 0.060000 Ia
58609.1811806 1 20.3553 0.284918
58606.1653588 1 19.9965 0.177678
58602.1818634 1 20.1115 0.170643
58598.2041319 1 19.7349 0.121407
58594.1792593 1 19.1799 0.13156
58591.1689699 1 18.9984 0.143332
58587.2053935 1 18.5356 0.099307
58584.2057755 1 18.4367 0.0668042
58581.2043866 1 18.1921 0.0638999
58575.2011921 1 17.9467 0.0635719
58567.1943056 1 18.1632 0.0794871
58562.2010764 1 18.9694 0.199134
58559.151088 1 20.0311 0.338274
