ZTF19abiahik 0.033000 Ia
58704.3741088 1 19.5242 0.155582
58700.3314005 1 18.9076 0.0942514
58700.3304745 1 18.8416 0.0704636
58694.3159491 1 18.625 0.0698953
58694.3150116 1 18.585 0.0670365
58693.3319329 1 18.6773 0.0787475
58691.3328935 1 18.8584 0.0912995
58691.3144213 1 18.8957 0.109773
58688.3165046 1 19.6819 0.135385
58688.3160532 1 19.4943 0.0976182
