ZTF18abhhxcp 0.060000 Ia
58633.3444097 2 19.2757 0.146531
58600.4728819 2 18.5303 0.0656861
58597.4242245 2 18.4845 0.0775495
58591.4521759 2 18.1336 0.0812802
58587.4058681 2 17.9539 0.0743455
58584.3849769 2 17.9932 0.0788896
58573.4130671 2 17.8646 0.0613589
58568.5152778 2 17.7947 0.0709422
58560.3943981 2 17.7742 0.0967541
58557.3721412 2 18.1317 0.102437
