ZTF19abxjrge 0.021705 II
58849.1685417 2 20.4464 0.216653
58846.1295486 2 20.1935 0.317142
58836.0936921 2 20.064 0.289014
58833.2277083 2 20.029 0.254628
58819.2540394 2 19.5462 0.353528
58814.2096759 2 19.502 0.153248
58812.2184259 2 19.7012 0.181851
58811.2987269 2 19.6648 0.242804
58804.2496644 2 19.5846 0.226333
58803.3340856 2 19.5248 0.206134
58791.3376505 2 19.3433 0.142497
58789.2892361 2 19.128 0.131155
58785.2938773 2 19.1852 0.100036
58777.2860069 2 18.9739 0.120615
58774.3140162 2 18.6655 0.137288
58766.4907523 2 18.3789 0.0601322
58763.3578935 2 18.2354 0.0787626
58759.3729977 2 18.0043 0.0663503
58749.3026852 2 17.9117 0.047094
58748.3801389 2 17.928 0.054204
58741.4402894 2 18.5865 0.0815072
58740.4791898 2 18.6233 0.0908249
58739.4514815 2 18.7275 0.108939
58738.504838 2 18.935 0.0806565
58735.482581 2 19.9996 0.133186
58732.4781597 2 19.122 0.085378
