ZTF19abcejsg 0.134000 II
58831.0847685 2 19.6672 0.173514
58811.1466782 2 19.8537 0.186439
58805.2109722 2 20.0497 0.259918
58791.3417824 2 19.7175 0.179265
58790.2053704 2 19.5257 0.140376
58777.2025463 2 19.6172 0.162977
58774.1992593 2 19.5455 0.169009
58763.3135417 2 19.4533 0.118739
58760.2962963 2 19.3974 0.118103
58757.3215741 2 19.3696 0.15879
58749.2961343 2 19.4564 0.118935
58743.3686227 2 19.1468 0.219798
58736.3971181 2 19.1963 0.104724
58733.39875 2 19.368 0.10009
58730.4013657 2 19.3136 0.101889
58725.4832986 2 19.3701 0.112981
58719.3976505 2 19.1651 0.112929
58716.4178472 2 19.165 0.116401
58712.4182986 2 19.0908 0.138448
58709.3919792 2 19.119 0.131168
58706.4003241 2 19.0979 0.0958535
58703.458588 2 19.1445 0.0969407
58699.3788657 2 19.095 0.0906591
58693.4622338 2 19.0447 0.0817106
58690.4205556 2 18.9892 0.0826681
58683.4399074 2 18.9175 0.131457
58676.4621644 2 19.0272 0.0877745
58673.4475579 2 18.9917 0.0901113
58670.4639583 2 18.9153 0.0765122
58667.464294 2 18.8921 0.117736
58662.4611806 2 18.9265 0.0751183
