ZTF19acoaoty 0.080000 Ia
58820.2284375 1 19.1257 0.140665
58820.2275231 1 19.2499 0.193778
58819.2278588 1 19.2927 0.106725
58819.226956 1 19.2614 0.094973
58813.2 1 18.8089 0.142028
58813.189294 1 18.8991 0.177094
58812.3297222 1 18.8168 0.0757851
58812.3212616 1 18.8164 0.100233
58811.2317593 1 18.8203 0.075299
58811.2160185 1 18.7702 0.085385
58811.2150926 1 18.7766 0.076289
58806.3436343 1 18.6338 0.0637693
58806.3427199 1 18.6321 0.0983345
58805.1926389 1 18.5917 0.0659042
58805.1917361 1 18.6163 0.0634125
58804.2065394 1 18.5623 0.099762
58804.205625 1 18.6051 0.0909642
58803.2248148 1 18.6826 0.146536
58803.2133681 1 18.5599 0.109937
58802.2070718 1 18.6546 0.0848579
58802.1898727 1 18.5526 0.122898
58801.2004051 1 18.625 0.140302
58801.1918056 1 18.6842 0.146011
58798.1701157 1 19.0507 0.206028
58797.3076736 1 19.05 0.162019
58797.2326273 1 19.0076 0.144219
58795.2736574 1 19.1989 0.105177
58795.2727431 1 19.2629 0.133941
58794.2709028 1 19.3343 0.142791
58794.270463 1 19.4426 0.154061
58794.2581481 1 19.521 0.157892
58792.3505556 1 20.0066 0.153287
58792.3496296 1 19.9387 0.184091
58791.2981597 1 20.3129 0.1967
58791.2972454 1 20.2322 0.19793
58790.3038773 1 20.5019 0.244514
