ZTF19acojuzv 0.040000 Ia
58898.2064815 1 20.8558 0.324475
58879.1783681 1 20.404 0.271465
58876.1879282 1 20.5961 0.227838
58867.2143056 1 20.5769 0.228311
58864.1745023 1 20.3723 0.220004
58861.1118171 1 20.357 0.355111
58854.4927431 1 19.9821 0.302007
58853.4628356 1 20.2873 0.151824
58852.4681597 1 20.1372 0.16726
58850.4296644 1 19.9201 0.29054
58849.4732523 1 20.1066 0.19884
58846.4867361 1 19.8884 0.176723
58833.5098958 1 19.4868 0.313693
58830.2233333 1 18.8627 0.142892
58823.4295602 1 18.2392 0.110811
58811.4328819 1 17.3175 0.043691
58805.5195833 1 17.18 0.0451614
58804.4995949 1 17.2367 0.0530502
58804.4743171 1 17.2361 0.054565
58798.5487153 1 17.5252 0.045509
58788.5105903 1 20.5014 0.244364
