ZTF20aawmlfq 0.031795 Ia
58987.3334606 2 17.013 0.0386682
58986.3103472 2 16.9124 0.0475267
58985.3795486 2 16.8347 0.0415672
58984.4025347 2 16.7841 0.0472571
58980.309456 2 16.6312 0.0354732
58977.3995949 2 16.6144 0.0288688
58974.3375347 2 16.7215 0.0412699
58972.3722338 2 16.8229 0.0330619
58971.4170255 2 16.9237 0.0401818
58968.411331 2 17.3817 0.0400863
58965.3343171 2 18.2887 0.0624845
