ZTF20aahkgcz 0.041130 Ia
58955.2236458 2 19.6177 0.130622
58944.1588657 2 19.2355 0.12622
58941.2193634 2 19.2868 0.118643
58915.1608102 2 18.038 0.07188
58913.1991319 2 18.0681 0.0631286
58912.2044213 2 17.9871 0.0459287
58909.3100463 2 17.9287 0.0490844
58906.1960995 2 17.9199 0.058911
58903.1970486 2 17.7918 0.0481204
58899.2873495 2 17.5137 0.042732
58898.3242593 2 17.4991 0.032099
58896.2795833 2 17.3417 0.0373967
58895.2658681 2 17.2831 0.0441068
58894.2649074 2 17.2797 0.0380195
58893.289456 2 17.2556 0.0498855
58891.2562037 2 17.2258 0.0441906
58890.181956 2 17.256 0.0588279
58887.1566204 2 17.2683 0.0465282
58886.2610185 2 17.3271 0.0430444
58885.1943866 2 17.3767 0.0505866
58884.239375 2 17.4644 0.0507812
58884.1820602 2 17.4673 0.089979
58883.2387847 2 17.528 0.0463288
58881.3023148 2 17.6296 0.0480539
58880.2224306 2 17.7629 0.0662457
58879.3018634 2 17.9293 0.0614008
58878.3064352 2 18.1317 0.0744208
58877.2818287 2 18.3919 0.062851
58876.2657176 2 18.6702 0.0702394
58875.2607986 2 18.9598 0.084602
58874.2606829 2 19.3578 0.124583
58873.2665162 2 19.7735 0.14566
