ZTF19aakiyed 0.044000 II
58612.3487037 2 20.1899 0.141991
58606.3441898 2 20.1298 0.177614
58605.3869097 2 19.7973 0.153296
58596.3086343 2 19.6979 0.206366
58596.2877894 2 19.7502 0.145685
58586.3253125 2 19.8314 0.175965
58583.3415509 2 19.5677 0.290363
58583.3048495 2 19.4899 0.196312
58580.3839699 2 19.4709 0.132906
58580.3794213 2 19.4609 0.120958
58575.4268287 2 19.5267 0.106516
58575.4017824 2 19.5664 0.113628
58567.3915046 2 19.4155 0.136132
58560.3901736 2 19.1774 0.115758
58557.3810995 2 19.2562 0.136595
58547.4912269 2 19.22 0.111769
58547.475706 2 19.0632 0.111691
58541.5554977 2 19.1417 0.113008
58541.4929514 2 19.1421 0.101559
58538.4884144 2 18.9611 0.175547
58534.448588 2 18.9817 0.208519
58534.4331829 2 18.8593 0.212227
58526.5172569 2 19.3359 0.146222
