ZTF18abiybfq 0.032000 Ia
58986.4199653 1 18.7954 0.141107
58979.4570255 1 18.8758 0.218221
58976.4799074 1 18.724 0.140443
58973.4949306 1 18.7533 0.117029
58967.4395718 1 18.73 0.105744
58964.4795602 1 18.7965 0.128347
58944.4627894 1 18.8252 0.17103
58803.0879514 1 18.6045 0.179578
58796.1284722 1 18.5898 0.148415
58793.146169 1 18.8043 0.237756
58790.0995139 1 18.7615 0.167288
58785.1847685 1 18.7276 0.132259
58779.1080093 1 18.7753 0.19304
58776.1090856 1 18.7839 0.105764
58770.090544 1 18.7881 0.153668
58767.2106366 1 18.5979 0.370824
58764.2428241 1 18.8204 0.219557
58738.1272106 1 18.7234 0.130767
58735.1260648 1 18.6716 0.127056
58732.1897801 1 18.7795 0.137363
58726.2459838 1 18.7184 0.109351
58723.260081 1 18.7965 0.14237
58720.1882755 1 18.7717 0.112392
58717.2416667 1 18.9059 0.110084
58714.24875 1 18.7608 0.139059
58704.3750231 1 18.8024 0.126401
58700.3323032 1 18.7648 0.116489
58696.2570486 1 18.8092 0.117637
58693.2955556 1 18.8046 0.102144
58679.2927778 1 18.8454 0.185941
58673.3148148 1 18.8075 0.15604
58668.2954861 1 18.8419 0.130722
58665.2485995 1 18.7819 0.110125
58662.4280671 1 18.828 0.130063
58661.4406597 1 18.7961 0.141936
58648.355625 1 18.8367 0.16292
58645.4177431 1 18.781 0.153751
58642.3979051 1 18.8254 0.12951
58633.4726157 1 18.8347 0.130165
58617.4595602 1 18.8035 0.167203
58607.4199074 1 18.8296 0.13056
58430.1249884 1 18.9776 0.15236
58427.1278472 1 19.0062 0.120299
58399.1065972 1 19.032 0.122629
58390.1050231 1 19.0881 0.151094
58381.1885417 1 18.9814 0.132279
58378.1681019 1 19.1272 0.130412
58375.2292593 1 19.0643 0.127993
58372.1893287 1 19.092 0.129728
58369.229838 1 19.1473 0.178911
58366.1899884 1 19.1392 0.125144
