ZTF19acfsqjx 0.055000 Ia
58811.1236227 2 19.6099 0.207601
58805.0808565 2 19.3713 0.246202
58797.0951736 2 19.1424 0.142735
58796.1025 2 19.1088 0.149284
58795.0991319 2 19.1165 0.12972
58794.1035069 2 19.1236 0.136189
58793.0988889 2 19.0329 0.12916
58792.1146296 2 18.9414 0.113432
58791.0906366 2 18.9593 0.132925
58790.1143056 2 18.8277 0.0839451
58789.1429514 2 18.9677 0.129228
58788.1425694 2 18.8944 0.151479
58787.1416782 2 19.049 0.185662
58786.1493171 2 18.9718 0.11561
58785.1424074 2 18.9233 0.117343
58783.1427662 2 18.9461 0.133405
58782.1415625 2 18.9861 0.123253
58781.1424537 2 19.2029 0.228047
58778.1427546 2 19.2644 0.13006
58777.1425463 2 19.3643 0.166637
58776.1421412 2 19.5907 0.141757
58775.1429167 2 19.573 0.144344
58774.1431944 2 19.8346 0.192198
