ZTF20aaeszsm 0.067000 Ia
58893.1646528 1 20.3356 0.206353
58880.1312963 1 19.4592 0.127127
58877.2029977 1 19.2915 0.0963645
58876.1380671 1 19.2691 0.0902525
58876.1380671 1 19.2725 0.089357
58874.192037 1 19.0525 0.112087
58873.1392361 1 19.0511 0.102669
58871.2036458 1 19.0123 0.0857085
58867.1780093 1 19.0936 0.263549
58864.1168171 1 19.1005 0.0801068
58863.1389236 1 19.1637 0.12097
58863.1287153 1 19.0756 0.102789
58859.1302199 1 19.537 0.206728
