ZTF19aakrawk 0.063000 Ia
58601.2543403 2 19.7988 0.150375
58587.2543981 2 19.432 0.186137
58584.1677083 2 19.2047 0.119835
58581.2306597 2 19.1106 0.103187
58573.252338 2 18.8559 0.09989
58568.2748032 2 18.8054 0.0902569
58560.3152894 2 18.3855 0.10151
58557.2515278 2 18.1908 0.0974384
58543.2663542 2 19.0513 0.251336
58539.2975694 2 19.3171 0.244689
