ZTF19acytcsg 0.031900 II
58980.2410648 2 20.1069 0.199684
58974.2272106 2 19.9408 0.198955
58971.2054051 2 19.941 0.206163
58968.1918403 2 19.8937 0.158176
58965.1856366 2 19.9844 0.163051
58954.2402315 2 19.6681 0.138606
58944.1694907 2 19.158 0.132053
58939.2127315 2 18.8327 0.0991017
58939.1843519 2 18.7003 0.0900883
58915.3865162 2 18.3501 0.0776316
58912.4045833 2 18.3518 0.0786032
58906.2416898 2 18.2698 0.07536
58903.3900579 2 18.3338 0.0687075
58900.2358681 2 18.3116 0.0607258
58899.3446181 2 18.3299 0.0763857
58899.2759375 2 18.3817 0.0792
58896.3085417 2 18.3329 0.0714624
58896.3037269 2 18.3054 0.0582673
58895.2794792 2 18.3522 0.0670255
58894.2800694 2 18.3295 0.0660958
58893.3303009 2 18.3876 0.0614567
58893.2829167 2 18.3831 0.0607598
58893.2810417 2 18.3685 0.0639926
58891.3308681 2 18.3205 0.0694597
58890.4237384 2 18.2265 0.0984008
58890.4219097 2 18.3048 0.0882097
58888.4224537 2 18.1927 0.101725
58886.3065741 2 18.2719 0.100485
58886.3002778 2 18.2603 0.0867537
58885.2198958 2 18.2666 0.140698
58884.4903009 2 18.2801 0.123893
58883.2641898 2 18.1997 0.0846075
58883.263287 2 18.3175 0.0834087
58881.3649421 2 18.2562 0.0507704
58880.3262616 2 18.2876 0.0615636
58880.3202315 2 18.3479 0.0662292
58879.3155324 2 18.2382 0.104669
58878.332662 2 18.3127 0.0861219
58877.3470602 2 18.3124 0.078155
58877.3461574 2 18.2991 0.086514
58876.3280556 2 18.3107 0.059596
58875.2903935 2 18.3353 0.072993
58874.2984954 2 18.3624 0.0557802
58874.2942824 2 18.3192 0.063654
58873.3012153 2 18.328 0.0662558
58871.3268634 2 18.3087 0.0736916
58871.3179977 2 18.2992 0.0711214
58867.3659606 2 18.2188 0.06522
58864.3226042 2 18.2681 0.0597518
58862.3709144 2 18.2391 0.0832911
58860.3888079 2 18.3078 0.083112
58860.3030324 2 18.135 0.101695
58859.2802431 2 18.1322 0.114766
58855.5280324 2 18.2168 0.0663018
58852.4479861 2 18.2985 0.0498652
58851.452581 2 18.2073 0.0865299
58849.4437616 2 18.2629 0.0636038
58846.4740972 2 18.2621 0.0564575
58846.4311921 2 18.2493 0.062206
58837.4567361 2 18.3402 0.0766981
58837.4470602 2 18.232 0.116187
58833.4365509 2 18.6924 0.119117
