ZTF18aaizerg 0.068500 Ia
58884.553831 2 19.913 0.211623
58881.560544 2 19.5232 0.126599
58881.5564005 2 19.7887 0.185271
58878.5541319 2 19.3641 0.132778
58878.5490741 2 19.341 0.177605
58875.551875 2 19.1829 0.13983
58875.5303819 2 19.4776 0.111509
58872.5535417 2 19.3193 0.139366
58872.5526273 2 19.3738 0.125027
58859.4960764 2 18.5507 0.120889
58859.4956019 2 18.5516 0.0932679
58856.5726042 2 18.5126 0.0808751
58856.5721412 2 18.3945 0.0708237
58853.5544676 2 18.4286 0.0569242
58852.5688079 2 18.4324 0.0573206
58850.5151389 2 18.4892 0.0981312
58850.5146644 2 18.5343 0.074654
58846.5725347 2 18.6649 0.0915198
