ZTF19aavvozj 0.100000 Ia
58668.3027778 1 20.3686 0.2101
58665.4617361 1 20.3694 0.198909
58662.4534606 1 20.1093 0.163247
58662.4239468 1 20.1327 0.120851
58661.4580671 1 19.9789 0.175132
58654.4753125 1 19.6042 0.304079
58648.4450463 1 19.1309 0.0968342
58645.4223611 1 19.0591 0.0915348
58642.4291088 1 19.0808 0.0688659
58639.4398148 1 19.2506 0.0680923
58636.4782986 1 19.5892 0.13265
58634.4762731 1 20.0815 0.175392
58633.4430324 1 20.3773 0.158255
