ZTF19abjsmmv 0.020000 II
58782.1103819 2 18.3482 0.097582
58775.0966435 2 18.2844 0.0789168
58775.0962037 2 18.3708 0.116801
58768.1211574 2 18.358 0.197717
58765.1171412 2 18.3402 0.0800045
58765.1120602 2 18.3832 0.0857551
58761.1177315 2 18.3767 0.0923887
58761.1172801 2 18.3 0.0783393
58749.1163426 2 18.2044 0.099043
58749.1149653 2 18.1048 0.096428
58737.1756713 2 18.0923 0.0766296
58735.2369329 2 18.1072 0.112746
58733.2142245 2 18.0149 0.077504
58732.2184954 2 18.0656 0.080868
58711.2815741 2 17.7977 0.0727693
58711.2769097 2 17.8435 0.0895095
58705.1619907 2 17.6325 0.0553897
58705.1560069 2 17.5365 0.0550714
58700.180081 2 17.8342 0.0485577
58700.1787037 2 17.8785 0.0535424
58697.1736227 2 18.3209 0.0880865
58697.1722454 2 18.276 0.0730852
