ZTF20aalcyih 0.027230 Ib
58964.221169 2 19.5221 0.200231
58955.1986806 2 19.5745 0.140052
58915.1495023 2 18.5601 0.0821672
58909.1502083 2 18.3634 0.099823
58909.113588 2 18.2909 0.0831103
58906.2073495 2 18.15 0.065307
58905.1876042 2 18.0981 0.0763647
58903.1712153 2 18.0341 0.0432101
58900.1842361 2 17.9165 0.0461511
58898.1640856 2 17.9137 0.045729
58898.1365856 2 17.9201 0.052701
58894.2454514 2 17.9421 0.0517455
58892.2856134 2 18.0403 0.0643945
58882.1438194 2 18.9943 0.109406
58880.2080324 2 19.4675 0.117277
58878.1825926 2 19.885 0.224851
