ZTF20aamttmo 0.050000 Ia
58964.3815278 1 21.058 0.303607
58943.4432523 1 20.3125 0.330705
58936.4979861 1 20.3168 0.193556
58914.4898843 1 18.2084 0.160793
58911.5378819 1 18.2009 0.0623356
58908.5457292 1 18.0321 0.0777751
58908.5457292 1 18.0321 0.077775
58904.5516088 1 17.8273 0.06399
58894.5597569 1 18.2466 0.0816148
58891.4751157 1 19.0564 0.140196
