ZTF19aambfxc 0.055000 Ia
58914.5475579 2 18.4685 0.112454
58913.4959722 2 18.4162 0.100626
58912.4944792 2 18.3414 0.0876259
58911.4933565 2 18.5013 0.127387
58908.4893519 2 18.3996 0.109328
58903.5121528 2 18.2703 0.070876
58898.5306481 2 17.9082 0.066325
58895.4883102 2 17.7635 0.0605361
58894.5381134 2 17.7103 0.0529447
58893.5459144 2 17.7056 0.0563212
58892.5319329 2 17.6388 0.0487144
58890.4895255 2 17.6568 0.112173
58888.515081 2 17.6855 0.0813577
58887.5476273 2 17.6913 0.0599119
58886.5556829 2 17.7773 0.0520826
58885.5458449 2 17.7975 0.0703035
58881.5512616 2 18.101 0.0665397
58880.5368981 2 18.1807 0.0970206
58879.5389005 2 18.6808 0.186353
58878.5723495 2 18.5954 0.0957958
58877.5168056 2 18.903 0.139746
58876.5564583 2 19.2483 0.092474
58875.5456944 2 19.6474 0.205261
58709.1971875 2 19.6159 0.171079
58706.1975463 2 19.6734 0.173047
58701.2831134 2 19.34 0.135765
58700.2792477 2 19.6705 0.21493
58697.3017708 2 19.5169 0.115494
58696.2797801 2 19.5219 0.168145
58695.2783333 2 18.926 0.161771
58693.2169792 2 19.2126 0.129371
58692.3329398 2 19.1891 0.155976
58691.1821296 2 18.9715 0.105574
58690.3488657 2 19.0432 0.121627
58688.385625 2 18.8066 0.109209
58684.2389236 2 18.9561 0.162182
58683.2486921 2 18.8969 0.132424
58683.2204745 2 18.8895 0.14094
58682.2597106 2 19.08 0.139264
58681.2588426 2 18.9208 0.116923
58680.2569676 2 19.135 0.176228
58678.2236111 2 19.2119 0.140582
