ZTF19aayrjnf 0.070000 Ia
58694.384294 2 20.321 0.208932
58691.4190278 2 20.2999 0.186844
58688.4108565 2 20.0103 0.222303
58678.4794907 2 19.9076 0.120056
58675.4821991 2 19.7873 0.195107
58672.4621065 2 19.6005 0.108707
58669.4377431 2 19.343 0.114974
58666.4220602 2 19.1636 0.0761452
58655.4409259 2 18.8189 0.123363
