ZTF20aaevbvv 0.060000 Ia
58915.1437963 2 19.6215 0.187134
58912.1739583 2 19.5447 0.146671
58909.1149537 2 19.4199 0.224625
58909.1145023 2 19.4116 0.223684
58906.2068287 2 19.1919 0.126195
58906.1687731 2 19.1995 0.13063
58903.1820833 2 19.0622 0.108263
58903.1721181 2 19.0599 0.0791569
58900.1865625 2 18.817 0.177329
58900.1860995 2 18.9659 0.107532
58898.1631713 2 18.9125 0.098896
58898.1492014 2 18.9121 0.070425
58898.1384954 2 18.8702 0.077541
58898.1380324 2 18.8527 0.076983
58894.2473032 2 18.8988 0.0785347
58894.2468403 2 18.8702 0.0845655
58892.2847106 2 18.8262 0.091703
58892.2842477 2 18.8384 0.0886582
58884.1701389 2 18.5692 0.143627
58882.1544792 2 18.4767 0.0793299
58882.1442708 2 18.4151 0.0763463
58881.2602662 2 18.4135 0.0695823
58880.2066204 2 18.2866 0.0604225
58878.1830556 2 18.2093 0.085684
58878.1603704 2 18.1261 0.111661
58875.2189005 2 18.0289 0.051533
58875.2179398 2 18.0203 0.054641
58874.2455903 2 18.0455 0.0559732
58873.1952894 2 17.9853 0.0496831
58873.1732407 2 17.9594 0.0468261
58872.2886921 2 18.0118 0.0556767
58871.2621181 2 17.97 0.0500892
58867.2695602 2 18.0565 0.0547612
58864.2191667 2 18.163 0.053731
58864.2160532 2 18.2138 0.054344
58863.226412 2 18.2428 0.2004
58863.2259491 2 18.526 0.200206
58862.3020023 2 18.283 0.0768571
58862.2197917 2 18.3435 0.0728168
58861.1441898 2 18.4274 0.0971211
58861.143287 2 18.5149 0.143384
58860.2987847 2 18.4901 0.100724
58860.2773495 2 18.6904 0.104978
58860.2663079 2 18.5503 0.103355
58860.2498843 2 18.665 0.119304
58859.4380093 2 18.8946 0.177424
