ZTF18abckujg 0.074000 Ia
58350.1573727 2 20.1956 0.210466
58346.1750347 2 20.0618 0.189144
58343.1549421 2 20.1398 0.204949
58340.1809954 2 19.7507 0.19391
58337.1996875 2 19.4455 0.101572
58334.1621412 2 19.4644 0.174079
58331.1832523 2 19.3321 0.115229
58322.2468866 2 19.1853 0.103758
58319.2235417 2 19.1007 0.112514
58316.2379861 2 18.9309 0.107445
58311.1812847 2 18.6933 0.0840725
58297.2635301 2 18.7143 0.0837719
58294.2564005 2 18.9838 0.106723
