ZTF20aamerev 0.090000 Ia
58909.1857986 1 19.727 0.272399
58906.2668171 1 19.7603 0.213733
58906.1616435 1 19.7974 0.332295
58903.2364931 1 19.5103 0.162986
58903.2360069 1 19.5324 0.170706
58898.2181366 1 19.1906 0.139486
58898.2125579 1 19.1422 0.095676
58898.2064815 1 19.1806 0.092984
58898.2041898 1 19.154 0.152842
58895.1608218 1 19.1263 0.139169
58886.2034259 1 19.3945 0.230214
58886.2011458 1 19.3849 0.227122
