ZTF18acnnxzz 0.076600 Ia
58987.215 1 19.8228 0.177953
58979.2108449 1 19.7624 0.134422
58976.1739583 1 19.6411 0.258946
58966.2121412 1 19.6548 0.14976
58963.2455556 1 19.7721 0.125598
58963.1907639 1 19.6537 0.114719
58955.1845602 1 19.7541 0.133282
58940.1746991 1 19.693 0.201863
58912.2312269 1 19.8096 0.174803
58909.2349421 1 20.0576 0.338897
58904.2734028 1 19.7633 0.159933
58898.2910532 1 19.7318 0.135507
58894.3151505 1 19.7945 0.119958
58891.2135185 1 19.8553 0.328071
58883.4181019 1 19.8828 0.231542
58876.3781829 1 19.6952 0.11681
58876.3781829 1 19.6936 0.115792
58873.3573148 1 19.7688 0.14538
58867.3976389 1 19.794 0.149623
58864.401412 1 19.6252 0.137941
58855.459919 1 19.7997 0.213869
58852.4823958 1 19.7638 0.139914
58849.4805787 1 19.7669 0.158002
58836.5504745 1 19.7392 0.152988
58830.5488773 1 19.5626 0.191986
58792.5405556 1 19.862 0.17135
58789.5045949 1 19.8114 0.179675
58778.5237616 1 19.8953 0.241418
58606.1500231 1 19.7268 0.165723
58598.2282639 1 19.8893 0.150578
58587.20875 1 19.7578 0.252388
58584.2274884 1 19.8045 0.177003
58581.2099074 1 19.8654 0.196459
58575.2542477 1 19.8005 0.162788
58572.2081829 1 19.5546 0.267588
58567.2083681 1 19.74 0.17146
58556.3410995 1 19.5423 0.178864
58541.2557755 1 19.8064 0.233488
58494.4637616 1 19.8506 0.137374
58486.4370139 1 19.8606 0.183374
58482.5172106 1 19.9375 0.174793
