ZTF20aafrihv 0.064000 Ia
58954.170706 1 20.6586 0.25548
58936.2600579 1 20.6825 0.243737
58912.261794 1 19.8276 0.224541
58909.2476505 1 19.5771 0.304959
58906.285625 1 19.4537 0.1418
58903.2611343 1 19.2502 0.118565
58900.3120949 1 18.9894 0.0914389
58899.3593403 1 18.8452 0.090244
58896.2470949 1 18.6218 0.10384
58896.2373495 1 18.6694 0.0706069
58895.2213889 1 18.5483 0.0776753
58894.3244444 1 18.4294 0.0704668
58893.2372338 1 18.3602 0.0624319
58893.2168519 1 18.3625 0.0707599
58891.2176505 1 18.1987 0.0881211
58890.2641782 1 18.0673 0.0688018
58890.2606713 1 18.0978 0.0775085
58888.2853935 1 17.9937 0.100857
58887.232419 1 17.8872 0.0652043
58886.2403125 1 17.9259 0.0794723
58886.2370023 1 17.9094 0.0750151
58885.2868981 1 17.8595 0.0787195
58884.2882755 1 17.7988 0.0670672
58883.4263426 1 17.7332 0.066366
58883.4249306 1 17.7507 0.0672376
58881.4467361 1 17.6808 0.0545021
58880.4347569 1 17.6937 0.0594378
58880.4338079 1 17.6997 0.0541738
58879.2640625 1 17.6707 0.089828
58879.2287037 1 17.6484 0.0565065
58878.2596991 1 17.6489 0.0704022
58877.3649769 1 17.6843 0.060856
58876.2363194 1 17.6822 0.0608266
58876.2363194 1 17.6824 0.060809
58875.3219097 1 17.7174 0.057863
58874.3670602 1 17.7638 0.0424716
58874.3661458 1 17.7407 0.0402159
58873.3702778 1 17.8105 0.0569802
58872.2386343 1 17.8471 0.0563641
58871.4056019 1 17.9417 0.0547346
58871.4046991 1 17.9678 0.0702676
58866.3896528 1 18.7229 0.0768285
