ZTF19aavkvpw 0.022500 Ic-BL
58670.2053356 1 20.1439 0.219851
58661.2262384 1 19.4639 0.153991
58658.193287 1 19.4503 0.131248
58655.2372106 1 19.2507 0.162651
58649.1903704 1 18.7292 0.161645
58646.1903935 1 18.4727 0.189095
58642.1691319 1 18.4285 0.0869199
58639.2268519 1 18.3976 0.0722653
58636.2459954 1 18.4921 0.0850529
58633.245787 1 18.7712 0.0726632
