ZTF19aafwrhf 0.052700 Ia
58873.2337616 2 19.4737 0.130142
58861.2989005 2 18.9121 0.184827
58855.3074421 2 18.6243 0.119192
58854.4414468 2 18.4281 0.134349
58850.4447801 2 18.4068 0.114933
58838.4358333 2 17.9318 0.0704981
58835.4209606 2 17.9541 0.0646029
58833.3879745 2 18.0412 0.0875852
58830.4163194 2 18.3031 0.0870375
58827.4264699 2 18.9652 0.14821
58827.3296644 2 18.6173 0.131937
