ZTF18abnvoel 0.060000 Ia
58382.2136111 1 19.5163 0.215043
58379.3242824 1 19.3341 0.170246
58376.236794 1 19.1268 0.0923086
58373.2644329 1 18.7929 0.100874
58370.2419329 1 18.62 0.0841743
58367.2818403 1 18.4595 0.0747482
58364.1968287 1 18.3321 0.0848166
58361.3822917 1 18.3044 0.100061
58352.3468056 1 18.7639 0.121116
