ZTF19acxowwt 0.059300 Ia
58855.347963 2 19.4609 0.215584
58849.4351505 2 19.1932 0.0876133
58846.4498264 2 18.987 0.0785736
58846.4362384 2 19.1219 0.105154
58836.4875463 2 18.5708 0.0695137
58836.4875463 2 18.5708 0.069514
58835.4542361 2 18.5571 0.0909545
58834.5207523 2 18.4414 0.134606
58833.4875 2 18.4132 0.135109
58833.4250579 2 18.555 0.100307
58831.4318287 2 18.6151 0.120877
58830.4534838 2 18.6931 0.0803961
58827.4440046 2 18.7732 0.116706
