ZTF18abakunn 0.056700 Ia
58866.3554051 2 19.3585 0.128504
58859.361331 2 19.2022 0.192102
58855.5381713 2 18.9646 0.0911396
58852.4428472 2 18.8109 0.100164
58851.4731366 2 18.693 0.0915799
58849.4512384 2 18.7189 0.0825047
58846.463287 2 18.79 0.0750775
58836.5059259 2 18.2231 0.0855265
58833.4774074 2 18.1687 0.0788987
58831.4554861 2 18.1996 0.0982359
58828.4235069 2 18.0304 0.0756351
58283.1968171 2 19.1624 0.0991504
