ZTF19acbmjrp 0.085000 Ia
58793.3507523 1 20.1842 0.163581
58790.3355324 1 20.0386 0.164194
58784.4153241 1 19.3796 0.208276
58781.4140509 1 19.128 0.100378
58778.31125 1 18.9795 0.115796
58775.3989583 1 18.756 0.0846003
58772.3173032 1 18.3367 0.24222
58766.4183681 1 18.6235 0.103555
58756.4400694 1 19.4504 0.100895
