ZTF19abuxhqc 0.070000 Ia
58782.3290972 2 19.8961 0.18106
58779.2317708 2 19.8418 0.188695
58775.1933565 2 19.6837 0.144701
58763.3358449 2 19.1593 0.0761887
58760.3169676 2 19.063 0.0865104
58757.3261806 2 18.9919 0.0794991
58750.3154167 2 18.7371 0.071169
58747.4196875 2 18.6187 0.08419
58744.3794444 2 18.389 0.0833724
58739.3775926 2 18.3968 0.0718678
58736.4353472 2 18.4773 0.0554629
58733.4023843 2 18.6593 0.0649731
58730.4186227 2 18.9494 0.076739
58726.378912 2 20.0098 0.131162
